date,action,ticker,current_weight,target_weight,delta_weight,reason,min_hold_blocked,sector,theme
2026-04-14,HOLD,MTZ,0.0417,0.0385,0,continuing,False,Industrials,
2026-04-14,HOLD,DY,0.0417,0.0385,0,continuing,False,Industrials,
2026-04-14,HOLD,XPO,0.0417,0.0385,0,continuing,False,Industrials,
2026-04-14,HOLD,ODFL,0.0417,0.0385,0,continuing,False,Industrials,
2026-04-14,HOLD,VALE,0.0417,0.0385,0,continuing,False,Basic Materials,
2026-04-14,HOLD,BHP,0.0417,0.0385,0,continuing,False,Basic Materials,
2026-04-14,HOLD,SLB,0.0417,0.0385,0,continuing,False,Energy,
2026-04-14,HOLD,BKR,0.0417,0.0385,0,continuing,False,Energy,
2026-04-14,BUY,FTAI,0,0.0385,0.0385,new_entry,False,Industrials,
2026-04-14,BUY,AER,0,0.0385,0.0385,new_entry,False,Industrials,
2026-04-14,BUY,FIX,0,0.0385,0.0385,new_entry,False,Industrials,
2026-04-14,HOLD,HUBB,0.0417,0.0385,0,continuing,False,Industrials,
2026-04-14,HOLD,ETN,0.0417,0.0385,0,continuing,False,Industrials,
2026-04-14,HOLD,RIO,0.075,0,0,min_hold_active(2d/20d),True,Basic Materials,
2026-04-14,HOLD,APD,0.03,0,0,min_hold_active(2d/20d),True,Basic Materials,
2026-04-14,HOLD,LIN,0.03,0,0,min_hold_active(2d/20d),True,Basic Materials,
2026-04-14,HOLD,SBS,0.03,0,0,min_hold_active(2d/20d),True,Utilities,
2026-04-14,HOLD,AWK,0.05,0,0,min_hold_active(2d/20d),True,Utilities,
2026-04-14,HOLD,WCC,0.03,0,0,min_hold_active(2d/20d),True,Industrials,
2026-04-14,HOLD,FAST,0.05,0,0,min_hold_active(2d/20d),True,Industrials,
2026-04-14,HOLD,WTRG,0.03,0,0,min_hold_active(1d/20d),True,Utilities,
2026-04-14,HOLD,GWW,0.03,0,0,min_hold_active(1d/20d),True,Industrials,
2026-04-14,HOLD,FTI,0.0417,0,0,min_hold_active(0d/20d),True,Energy,
2026-04-14,HOLD,TS,0.0417,0,0,min_hold_active(0d/20d),True,Energy,
